OpenTrade,Size,Time,Close,VWAP,Bounded,P1SD,P2SD,N1SD,N2SD,m1UF,m1DF,m1_1SD,m1_2SD,m5UF,m5DF,m5_1SD,m5_2SD
TRUE,0,7/6/2021 15:19,35470,36174,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,-5,7/6/2021 15:24,35355,36169,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
TRUE,10,7/6/2021 19:24,33850,34084,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,10,7/6/2021 19:50,33575,33979,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
TRUE,10,7/6/2021 22:41,33205,33739,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
TRUE,10,8/6/2021 10:08,31980,33002,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
